9
130	407	560	670	710	0	0	0	0	0	412	1058	1340	1506	1581	0.67	0.67	0.67	0.67	0.67	323	907	1206	1409	1487	27001.26	27001.26	27001.26	27001.26	27001.26	1	1	1	1	1	46	140	150	170	190	194	351	385	390	415
212	433	600	720	765	0	0	0	0	0	655	1383	1752	1970	2068	0.67	0.67	0.67	0.67	0.67	518	1018	1369	1605	1698	30014.89	30014.89	30014.89	30014.89	30014.89	1	1	1	1	1	10	70	75	80	90	379	737	800	840	900
849	1094	1500	1785	1890	0	0	0	0	0	2835	3426	4340	4879	5122	0.93	0.93	0.93	0.93	0.93	1923	2531	3378	3938	4155	34043.45	34043.45	34043.45	34043.45	34043.45	1	1	1	1	1	50	131	145	160	170	389	448	485	500	540
492	576	795	950	1005	0	0	0	0	0	1520	1597	2023	2274	2387	1.2	1.2	1.2	1.2	1.2	1115	1249	1665	1940	2044	33503.32	33503.32	33503.32	33503.32	33503.32	1	1	1	1	1	74	60	65	65	70	236	198	210	225	240
623	786	1018	1180	1253	0	0	0	0	0	2085	2549	2900	3150	3271	0.58	0.58	0.58	0.58	0.58	1451	1887	2347	2662	2804	33407.39	33407.39	33407.39	33407.39	33407.39	1	1	1	1	1	54	4	63	68	85	229	308	277	312	327
386	829	2635	3060	3249	0	0	0	0	0	1349	2803	6306	8198	8513	0.77	0.77	0.77	0.77	0.77	899	2025	5701	6837	7188	29719.03	29719.03	29719.03	29719.03	29719.03	1	1	1	1	1	0	0	127	313	393	152	196	257	130	87
57	1485	1880	2230	2367	0	0	0	0	0	176	5025	5354	5910	6137	0.3	0.3	0.3	0.3	0.3	133	3588	4296	4957	5212	26898.72	26898.72	26898.72	26898.72	26898.72	1	1	1	1	1	10	30	87	125	157	30	450	194	229	228
520	668	760	800	849	0	0	0	0	0	1802	2129	2170	2133	2215	2.64	2.64	2.64	2.64	2.64	1211	1581	1730	1776	1665	27839.24	27839.24	27839.24	27839.24	27839.24	1	1	1	1	1	50	115	70	100	126	16	133	311	343	354
705	1368	2140	3150	3344	0	0	0	0	0	2383	4316	5840	8435	8759	1.19	1.19	1.19	1.19	1.19	1642	3232	4785	6940	7280	29506.77	29506.77	29506.77	29506.77	29506.77	1	1	1	1	1	324	303	695	939	1181	291	495	389	264	122
1159	1770	2040	2075	2099	0	0	0	0	0	4047	6016	5390	5246	5126	2.35	2.35	2.35	2.35	2.35	2666	4233	4481	4476	4465	25519.9	25519.9	25519.9	25519.9	25519.9	1	1	1	1	1	0	119	116	188	236	276	473	1163	1224	1292
