20380
7393
1200
1165
21
114	53	5359	9	0.24	24.00	1	2400	47.22	0.0100	1	-1	0	0	85463.16	0	0.00	2	0	0	0
115	53	5743	9	0.10	24.00	1	2400	108.86	0.0042	1	-1	0	0	85778.84	0	0.00	2	0	0	0
116	54	5353	9	0.22	24.00	1	2400	9.10	0.0092	1	-1	0	0	84045.10	0	0.00	2	0	0	0
117	54	5359	9	0.26	24.00	1	2400	19.10	0.0108	1	-1	0	0	84910.68	0	0.00	2	0	0	0
118	55	5348	9	0.38	24.00	1	2400	76.95	0.0158	1	-1	0	0	80308.58	0	0.00	2	0	0	0
119	55	5349	9	0.34	24.00	1	2400	182.91	0.0142	1	-1	0	0	81488.06	0	0.00	2	0	0	1
120	55	5352	9	0.52	24.00	1	2400	87.73	0.0217	1	-1	0	0	80013.58	0	0.00	2	0	0	0
121	55	5353	9	0.45	23.89	1	2400	90.57	0.0188	1	-1	0	0	82330.14	0	0.00	2	0	0	0
122	56	5349	9	0.31	23.85	1	2400	82.03	0.0130	1	-1	0	0	81932.51	0	0.00	2	0	0	1
123	56	5440	9	0.52	24.00	1	2400	156.92	0.0217	1	-1	0	0	83343.05	0	0.00	2	0	0	0
124	57	5347	9	0.29	23.84	1	2400	54.00	0.0122	1	-1	0	0	77088.55	0	0.00	2	0	0	1
125	58	5340	9	0.82	24.00	1	2400	116.48	0.0342	1	-1	2	0	74963.39	0	0.00	2	0	0	0
126	58	5344	9	0.41	23.88	1	2400	167.08	0.0172	1	-1	0	0	77213.35	0	0.00	2	0	0	0
127	58	5346	9	0.35	23.86	1	2400	101.37	0.0147	1	-1	0	0	75975.46	0	0.00	2	0	0	0
128	58	5352	9	0.63	23.92	1	2400	93.57	0.0263	1	-1	0	0	77778.53	0	0.00	2	0	0	1
129	59	5356	9	0.32	24.00	1	2400	15.64	0.0133	1	-1	0	0	82219.64	0	0.00	2	0	0	0
130	59	6672	9	0.30	24.00	1	2400	7.35	0.0125	1	-1	0	0	83122.91	0	0.00	2	0	0	0
131	60	5342	9	0.28	24.00	1	2400	40.80	0.0117	1	-1	0	0	78242.90	0	0.00	2	0	0	0
132	60	5344	9	0.30	24.00	1	2400	55.43	0.0125	1	-1	0	0	78282.98	0	0.00	2	0	0	0
133	60	5345	9	0.38	24.00	1	2400	37.10	0.0158	1	-1	0	0	79492.50	0	0.00	2	0	0	1
134	61	5335	9	0.38	25.91	1	2400	106.13	0.0147	1	-1	0	0	77408.21	0	0.00	2	0	0	0
135	61	5357	9	0.43	26.06	1	2400	22.28	0.0165	1	-1	0	0	78999.48	0	0.00	2	0	0	0
136	62	5341	9	0.26	26.00	1	2400	38.10	0.0100	1	-1	0	0	75908.96	0	0.00	2	0	0	0
137	62	5342	9	0.33	26.05	1	2400	17.49	0.0127	1	-1	0	0	77083.57	0	0.00	2	0	0	1
138	63	5329	9	0.57	25.91	1	2400	244.25	0.0220	1	-1	0	0	71613.97	0	0.00	2	0	0	1
139	63	5337	9	0.64	25.95	1	2400	216.24	0.0247	1	-1	0	0	70814.83	0	0.00	2	0	0	0
140	63	5340	9	0.46	26.04	1	2400	48.51	0.0177	1	-1	0	0	72833.46	0	0.00	2	0	0	0
141	63	5341	9	0.56	26.05	1	2400	58.46	0.0215	1	-1	0	0	73868.76	0	0.00	2	0	0	0
142	64	5337	9	0.51	25.93	1	2400	418.43	0.0197	1	-1	0	0	68785.40	0	0.00	2	0	0	1
143	64	5338	9	0.64	25.95	1	2400	31.24	0.0247	1	-1	0	0	70087.23	0	0.00	2	0	0	1
144	64	5752	9	0.83	25.94	1	2400	0.33	0.0320	1	-1	0	0	66795.62	0	0.00	2	0	0	1
145	65	5329	9	0.76	26.06	1	2400	124.85	0.0292	1	-1	0	0	69422.85	0	0.00	2	0	0	1
146	65	5745	9	0.66	26.05	1	2400	248.49	0.0253	1	-1	0	0	66844.03	0	0.00	2	0	0	1
147	65	5747	9	0.46	26.04	1	2400	348.04	0.0177	1	-1	0	0	66955.92	0	0.00	2	0	0	1
148	66	5326	9	0.55	25.98	1	2400	467.73	0.0212	1	-1	0	0	69199.46	0	0.00	2	0	0	1
149	66	5333	9	0.54	25.92	1	2400	75.99	0.0208	1	-1	0	0	71252.35	0	0.00	2	0	0	0
150	66	5749	9	0.61	25.96	1	2400	131.11	0.0235	1	-1	0	0	68316.66	0	0.00	2	0	0	1
151	67	5324	9	0.28	25.85	1	2400	159.41	0.0108	1	-1	0	0	66103.17	0	0.00	2	0	0	0
152	67	5325	9	0.27	26.13	1	2400	498.09	0.0103	1	-1	0	0	66670.21	0	0.00	2	0	0	0
153	67	5328	9	0.65	26.00	1	2400	50.80	0.0250	1	-1	0	0	68155.15	0	0.00	2	0	0	1
154	67	5750	9	0.66	26.05	1	2400	524.78	0.0253	1	-1	0	0	64702.89	0	0.00	2	0	0	0
155	68	5301	9	0.59	26.03	1	2400	182.32	0.0227	1	-1	0	0	62337.34	0	0.00	2	0	0	0
156	68	5748	9	0.68	25.99	1	2400	13.04	0.0262	1	-1	0	0	64815.38	0	0.00	2	0	0	1
157	68	5751	9	0.50	26.09	1	2400	228.22	0.0192	1	-1	0	0	61803.23	0	0.00	2	0	0	1
158	69	5745	9	0.59	26.03	1	2400	8.76	0.0227	1	-1	0	0	64126.87	0	0.00	2	0	0	1
159	69	5746	9	0.32	25.95	1	2400	133.02	0.0123	1	-1	0	0	63378.66	0	0.00	2	0	0	1
160	69	5752	9	0.78	26.00	1	2400	81.67	0.0300	1	-1	0	0	63896.12	0	0.00	2	0	0	1
161	70	5296	9	0.16	25.95	1	2400	2.00	0.0062	1	-1	0	0	59323.93	0	0.00	2	0	0	0
162	71	5288	9	0.38	25.91	1	2400	25.34	0.0147	1	-1	0	0	53272.97	0	0.00	2	0	0	0
