7
714	51405.60	1350	6.819	1097	14304.97942	3
1470	47897.43	3423	5.388	2408	15255.23147	3
2	47792.73	13	0.935	5	14750.8274	3
215	51169.73	643	1.224	413	13731.64634	3
82	51381.10	235	1.108	156	12939.51264	3
120	66902.94	328	2.932	221	13377.83906	3
11	68316.01	36	1.108	22	12484.92439	3
5	68199.47	12	0.362	9	11694.90325	3
173	47488.77	504	0.697	347	8951.688286	3
691	51357.38	1469	6.116	1046	8019.692329	3
176	61571.60	518	2.761	351	9533.088524	3
148	61666.75	248	5.323	266	10230.99535	3
1189	51184.97	2579	12.136	1967	9439.799035	3
50	47482.56	140	0.657	111	10613.04896	3
472	53161.39	1475	1.175	963	10883.09898	3
474	61610.59	1243	2.529	904	12511.53243	3
813	47867.33	1903	5.176	1306	12640.06413	3
469	47846.78	1375	2.727	852	12158.16764	3
313	49541.22	786	2.886	569	12618.15743	3
503	70946.03	1388	1.294	1132	16004.38972	3
1842	50573.01	5183	3.469	3325	15065.70001	3
932	75284.28	2468	2.721	1818	13004.92587	3
868	69000.23	2330	2.084	1661	16021.82775	3
479	75326.82	1055	25.449	884	14303.73113	3
292	56032.61	903	1.63	676	13061.87476	3
35	47479.93	134	0.79	85	12419.79551	3
622	81174.43	1664	2.227	1274	14985.05618	3
245	81336.51	751	0.756	585	14792.47162	3
440	81432.98	1544	0.908	1089	19942.12186	3
191	81168.18	572	0.637	453	17815.83686	3
13	71000.73	23	1.457	25	19546.43178	3
1408	47140.47	3685	4.882	2348	12062.92272	3
60	46626.50	126	6.556	96	10396.65572	3
0	37550.73	0	0	0	8377.831686	3
1554	41796.08	3588	6.997	2246	9128.897206	3
1124	45389.19	2914	4.332	1801	9382.958325	3
2774	45995.76	6788	4.515	4494	7588.766126	3
2	46925.00	3	1.564	2	5335.172543	3
1201	50021.30	3063	4.208	2045	5373.806882	3
1036	46965.70	2475	4.818	1599	4009.424151	3
741	32163.21	1831	4.075	1070	5135.266993	3
1437	32512.11	3031	8.228	1839	7213.045331	3
1007	47274.45	2217	2.762	1600	7531.976655	3
2805	48579.50	5878	4.822	4272	5621.609334	3
1619	46183.43	3973	4.506	2472	4365.778141	3
1258	82349.51	2951	2.194	2489	8522.753668	3
6	82834.45	7	0.716	11	5653.518104	3
252	82689.29	770	1.051	542	7493.476928	3
383	82608.00	1155	1.688	814	7728.809053	3
1166	74448.77	3246	2.373	2372	10392.46247	3
186	71427.67	620	1.242	406	10142.49338	3
372	71620.26	840	3.133	711	10229.59841	3
8	71417.94	16	2.491	14	12020.22628	3
0	71313.69	0	0	0	11589.24056	3
965	82704.46	2578	1.729	1935	5501.184239	3
0	316.33	0	0	0	10099.44128	4
0	674.61	0	0	0	11277.14007	4
0	0.58	0	0	0	13496.24765	4
0	6865.14	0	0	0	12468.9454	4
101	21352.06	562	6.936	203	10676.41835	4
0	1162.30	442	0	0	11346.74133	4
146	41554.83	353	5.528	229	11398.32642	4
3093	45043.24	6677	5.993	4410	10523.91244	4
2174	47441.74	4902	6.759	3119	10287.55076	4
1295	50626.77	2951	5.26	2033	10180.88464	4
2438	58584.77	5772	4.667	3870	9724.432971	4
1827	70340.02	4258	5.414	3036	8565.421945	4
853	57496.24	1988	5.648	1360	8341.23401	4
1069	61183.45	2526	5.786	1630	7755.886058	4
1457	63101.83	3525	5.067	2322	8204.623441	4
1014	87460.15	2734	4.415	1825	8626.933461	4
1387	66545.34	3032	6.733	2133	9129.38784	4
1184	47901.02	2690	11.065	1578	10626.8914	4
3071	72397.55	6931	4.848	5114	10664.21705	4
1568	66722.39	3327	5.426	2469	11316.68736	4
927	64613.65	1970	5.092	1429	11046.57586	4
1238	62281.32	2523	6.63	1870	9181.064762	4
862	81403.15	1930	5.437	1443	10066.55804	4
1228	74695.02	2692	5.88	2004	9228.718018	4
2441	60624.21	4976	5.901	3779	8057.085324	4
1334	61405.24	1865	21.369	1700	7069.184592	4
1300	56839.74	2545	10.993	1975	5973.780185	4
2734	39472.86	4720	16.931	2684	5315.911532	4
2470	56438.18	5186	9.423	3700	8265.892569	4
2695	48848.14	6056	8.975	3543	5633.367635	4
2870	28422.18	6561	16.475	2945	4415.611947	4
1400	32040.73	4980	7.769	1956	4587.288296	4
1901	37523.22	5959	7.087	2516	5774.737219	4
1268	54850.51	2889	6.786	1796	7068.502558	4
914	48409.90	2489	6.067	1413	6878.736494	4
1051	47984.37	2347	6.11	1529	7563.150108	4
2833	43541.72	6958	7.679	3817	6348.050945	4
1996	29527.65	5605	11.029	2410	5270.517306	4
1212	34513.71	3385	7.426	1644	5194.027948	4
990	36607.57	2672	6.255	1329	6420.452324	4
1952	48112.17	4390	6.402	2912	7611.056186	4
943	50010.30	2076	5.86	1365	8118.830559	4
